;;;;;;;;;;;;;;;;;;;;;;;
Ocupados por Rama de Actividad Economica 1/;;;;;;;;;;;;;;;;;;;;;;;
Total Pais;;;;;;;;;;;;;;;;;;;;;;;
(miles de personas);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Período;;;Rama de Actividad Económica;;;;;;;;;;;;;;;;;;;;
;;Total Ocupados;Agricultura, ganadería, silvicultura y pesca;Explotación de minas y canteras;Industrias manufactureras;Suministro de electricidad, gas, vapor y aire acondicionado;"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación";Construcción;"Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas";Transporte y almacenamiento;Actividades de alojamiento y de servicio de comidas;Información y comunicaciones;Actividades financieras y de seguros;Actividades inmobiliarias;Actividades profesionales, científicas y técnicas;Actividades de servicios administrativos y de apoyo;"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";Enseñanza;Actividades de atención de la salud humana y de asistencia social;Actividades artísticas, de entretenimiento y recreativas;Otras actividades de servicios;"Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio";Actividades de organizaciones y órganos extraterritoriales
2013;;;;;;;;;;;;;;;;;;;;;;;
;Ene - Mar;7.729,50;843,66;248,79;869,43;32,38;34,79;660,60;1.455,95;490,39;323,77;136,60;170,94;54,96;201,28;182,61;412,36;567,74;347,14;74,35;197,36;422,96;1,46
;Feb - Abr;7.753,33;798,27;248,53;853,65;30,94;36,18;693,99;1.479,54;499,00;292,73;140,12;177,45;52,01;214,59;183,46;412,97;587,21;347,03;81,77;198,46;424,72;0,71
;Mar - May;7.762,82;736,46;256,98;861,78;33,24;38,35;685,52;1.496,59;498,62;283,69;142,42;179,94;50,58;229,84;180,69;408,66;613,30;352,21;84,51;197,64;431,16;0,65
;Abr - Jun;7.752,83;689,36;261,94;871,66;34,84;38,50;681,01;1.506,26;507,57;283,08;142,34;180,10;52,63;224,80;173,03;409,35;625,60;346,24;84,00;200,17;439,92;0,44
;May -Jul;7.738,56;669,84;258,63;885,20;36,83;38,10;669,89;1.511,60;502,83;300,08;136,85;177,04;66,58;221,13;158,95;399,71;647,68;349,97;85,91;187,55;433,34;0,86
;Jun - Ago;7.751,39;674,79;251,20;891,89;33,84;39,82;676,55;1.512,75;514,76;291,42;131,64;183,97;69,35;216,88;158,47;393,27;648,68;350,79;91,64;196,46;422,17;1,04
;Jul - Sep;7.758,91;666,41;251,97;904,30;30,51;44,13;666,34;1.525,55;507,07;290,25;140,45;180,56;73,94;225,79;155,41;392,53;648,85;349,30;90,01;195,21;417,61;2,74
;Ago - Oct;7.789,69;662,26;254,70;898,64;30,19;41,92;663,71;1.523,75;510,78;287,16;149,67;178,12;71,32;228,84;163,14;402,71;659,22;350,74;89,08;218,02;402,48;3,25
;Sep - Nov;7.830,93;673,72;259,05;891,36;29,61;40,77;674,14;1.531,85;508,35;296,61;155,19;170,03;67,87;230,80;182,25;402,93;660,23;348,47;92,18;224,50;387,43;3,56
;Oct - Dic;7.904,05;713,60;256,20;899,34;31,62;41,91;685,52;1.542,64;505,48;290,03;154,14;161,44;68,92;232,27;203,53;407,96;662,04;351,70;92,97;226,73;371,61;4,42
;Nov - Ene;7.915,41;758,99;248,77;913,80;30,96;39,63;688,25;1.546,02;498,92;294,51;153,73;169,41;68,07;230,90;212,39;406,73;625,94;358,92;86,88;215,28;363,36;3,93
2014;Dic - Feb;7.943,26;785,54;242,68;914,10;31,80;38,29;679,87;1.564,01;491,69;300,75;158,95;168,28;71,65;237,05;206,14;411,60;590,12;386,52;80,98;215,43;364,13;3,67
;Ene - Mar;7.894,77;776,37;246,66;884,78;33,66;41,58;668,93;1.566,47;497,47;303,08;149,54;172,83;62,27;235,43;207,05;408,79;576,96;389,54;87,88;222,30;362,46;0,72
;Feb - Abr;7.921,87;768,30;247,87;875,48;35,01;42,70;666,22;1.562,01;511,97;291,51;143,51;169,55;61,76;245,38;206,27;405,64;602,44;388,68;89,68;235,39;372,19;0,32
;Mar - May;7.883,90;740,61;246,48;882,68;37,34;41,79;671,73;1.536,13;521,17;277,63;141,88;174,22;61,10;246,00;192,55;401,73;630,11;378,58;88,87;235,06;377,91;0,32
;Abr - Jun;7.853,60;704,37;240,91;902,29;37,24;42,63;676,54;1.496,49;506,32;268,31;151,36;178,12;68,43;248,69;188,88;404,71;642,83;384,89;90,01;233,88;384,43;2,29
;May -Jul;7.819,68;675,94;237,08;893,51;37,62;44,88;660,27;1.504,88;497,01;274,68;150,66;166,68;67,31;246,20;176,78;411,85;652,00;408,62;92,65;232,67;386,07;2,33
;Jun - Ago;7.802,50;676,06;236,25;903,03;39,13;46,17;655,35;1.488,92;488,44;267,32;152,09;166,48;69,03;239,98;186,35;422,51;648,08;418,12;100,35;220,80;375,80;2,25
;Jul - Sep;7.850,80;672,60;237,06;900,40;34,30;43,43;653,47;1.507,53;494,83;284,64;151,75;158,30;65,82;230,76;192,68;430,16;656,43;433,54;108,28;220,96;371,15;2,73
;Ago - Oct;7.894,84;682,07;235,33;907,72;35,24;46,98;661,15;1.499,34;488,07;288,46;152,82;165,50;67,07;228,23;200,95;432,82;669,27;434,17;106,19;220,26;369,20;4,01
;Sep - Nov;7.968,98;703,60;244,32;897,06;34,90;48,30;669,46;1.508,10;498,71;304,73;159,62;169,28;69,00;230,53;211,75;429,96;681,68;417,99;102,56;226,69;356,75;4,00
;Oct - Dic;8.013,72;755,90;245,43;887,33;40,56;46,24;669,73;1.512,23;509,67;299,18;151,96;176,15;67,98;223,18;218,81;441,07;677,91;410,31;96,23;236,82;345,03;1,99
;Nov - Ene;8.003,05;791,90;246,52;889,49;36,98;45,07;654,98;1.528,87;516,53;311,81;147,85;176,46;66,11;223,73;207,51;440,34;644,03;413,91;99,49;238,10;322,31;1,06
2015;Dic - Feb;7.990,85;817,03;240,40;889,20;38,47;45,63;644,99;1.531,54;519,17;324,63;137,53;170,66;64,54;222,54;200,40;451,44;624,03;419,78;92,25;236,65;318,50;1,47
;Ene - Mar;7.973,96;809,65;237,48;884,79;40,97;44,44;660,37;1.523,30;522,53;322,60;132,59;164,11;62,62;230,15;202,26;450,30;618,94;426,44;88,91;235,22;314,75;1,53
;Feb - Abr;7.988,26;785,30;234,83;895,19;44,01;43,75;673,44;1.517,94;527,73;305,36;140,26;167,86;63,67;230,50;198,96;452,49;630,70;420,10;85,08;239,78;329,57;1,76
;Mar - May;7.976,15;731,28;236,21;898,53;39,66;43,20;693,19;1.520,53;517,20;295,50;140,25;172,09;62,86;226,06;196,54;448,82;655,76;418,96;85,29;246,25;346,36;1,60
;Abr - Jun;7.972,63;691,98;232,53;910,60;37,28;39,78;696,52;1.522,46;525,57;289,72;144,11;177,25;58,97;222,62;190,01;451,26;677,41;420,54;85,35;245,04;351,83;1,81
;May -Jul;7.962,94;672,53;239,18;914,88;38,13;39,56;692,16;1.495,60;528,03;298,95;140,30;178,22;59,38;230,24;192,44;452,04;680,01;420,14;88,42;236,34;365,14;1,26
;Jun - Ago;7.980,91;682,16;232,20;908,96;37,57;37,45;692,16;1.477,12;538,78;297,63;147,73;177,87;64,93;227,18;194,82;453,58;696,39;427,85;91,30;233,18;361,07;0,99
;Jul - Sep;8.028,20;689,03;236,72;899,36;39,19;42,54;704,36;1.490,03;537,88;317,83;138,68;175,67;72,51;227,25;191,84;450,19;700,42;435,89;89,57;223,20;364,24;1,79
;Ago - Oct;8.023,38;700,72;236,28;886,95;39,40;42,98;711,72;1.480,39;541,13;320,54;132,30;178,80;76,38;215,99;194,48;452,45;708,00;433,47;85,43;221,44;362,91;1,63
;Sep - Nov;8.074,69;707,44;237,06;889,06;43,09;49,56;711,27;1.515,14;535,07;336,55;130,98;177,59;72,23;217,26;195,53;443,78;702,29;424,85;89,97;229,30;364,38;2,29
;Oct - Dic;8.136,36;757,52;221,99;889,30;39,39;51,38;705,58;1.560,80;545,52;335,34;133,35;173,53;69,86;217,32;200,94;446,25;677,08;427,86;86,39;233,42;361,89;1,64
;Nov - Ene;8.165,19;794,67;208,92;880,90;40,05;52,48;710,91;1.568,59;546,87;346,94;135,97;176,85;71,45;219,54;204,96;443,95;653,89;425,55;90,83;236,78;352,51;2,58
2016;Dic - Feb;8.134,37;827,60;200,04;855,37;37,67;47,00;718,84;1.561,66;550,59;354,86;127,68;181,74;67,01;228,57;217,69;444,28;622,27;428,28;93,78;219,79;347,13;2,52
;Ene - Mar;8.077,98;821,37;206,66;854,79;41,15;44,02;704,42;1.549,26;537,93;365,42;130,64;189,89;65,70;229,68;223,35;435,26;616,16;409,99;90,72;220,41;338,55;2,61
;Feb - Abr;8.098,42;804,58;211,10;849,60;40,95;40,71;725,50;1.562,93;547,95;353,81;131,51;182,52;67,36;226,50;220,37;448,25;635,76;400,25;86,83;215,21;344,30;2,45
;Mar - May;8.077,81;763,83;208,90;873,35;46,08;39,40;724,57;1.567,58;542,94;333,84;137,51;176,03;68,61;231,99;211,08;452,14;656,51;392,94;82,41;222,03;344,13;1,92
;Abr - Jun;8.059,70;731,56;208,32;864,51;43,73;41,35;722,02;1.569,44;542,88;324,93;136,09;167,02;78,44;239,33;200,41;455,26;681,67;398,44;86,02;215,34;351,49;1,45
;May -Jul;8.056,68;698,04;195,03;890,84;47,62;54,64;708,47;1.554,26;533,13;330,37;135,74;159,68;76,86;251,39;208,71;440,42;687,16;414,49;89,57;226,27;353,46;0,51
;Jun - Ago;8.070,85;692,99;196,48;902,40;42,31;56,89;721,12;1.544,85;551,98;331,21;131,85;153,90;78,59;258,03;203,98;429,87;690,12;415,97;89,67;229,63;348,71;0,31
;Jul - Sep;8.104,87;694,78;194,75;902,29;42,05;56,09;721,60;1.563,06;552,78;334,73;130,40;149,92;76,02;255,59;216,39;426,92;692,13;425,34;96,47;230,01;343,28;0,27
;Ago - Oct;8.141,24;711,76;201,48;918,69;35,70;48,93;709,15;1.594,18;555,71;336,60;131,82;151,77;75,07;240,23;221,97;432,22;685,59;419,51;98,09;227,89;344,39;0,48
;Sep - Nov;8.200,02;744,74;200,35;912,28;39,31;51,17;683,21;1.612,82;559,27;333,99;127,26;151,79;73,47;232,69;226,53;439,01;695,07;426,72;106,50;240,78;342,57;0,48
;Oct - Dic;8.216,87;785,03;200,15;903,77;41,69;50,28;690,44;1.610,01;558,19;337,68;128,53;156,36;68,50;229,08;225,32;444,94;675,73;421,55;104,43;238,46;346,17;0,56
;Nov - Ene;8.230,37;818,05;196,07;870,91;43,02;49,11;705,09;1.621,11;564,05;350,31;133,25;153,50;68,92;228,03;236,21;441,00;651,03;415,97;102,59;243,64;337,93;0,57
2017;Dic - Feb;8.191,92;831,11;192,60;882,87;42,32;49,07;700,87;1.606,83;559,38;354,96;138,30;159,83;70,05;218,10;230,28;449,07;619,20;417,47;93,92;243,00;332,11;0,58
;Ene - Mar;8.195,02;824,79;194,99;886,89;38,98;52,65;712,95;1.588,21;559,77;365,42;142,02;158,22;78,31;217,03;221,17;444,53;621,93;423,01;96,80;243,79;322,37;1,16
;Feb - Abr;8.207,86;807,61;199,85;901,49;41,15;49,79;712,26;1.570,17;551,37;351,61;146,94;163,68;76,30;223,79;205,40;463,22;649,86;426,47;97,78;243,01;324,78;1,35
;Mar - May;8.218,14;773,66;208,38;898,74;42,93;48,15;704,72;1.582,81;544,66;344,75;151,43;158,68;72,70;230,29;209,41;474,02;673,52;435,12;92,78;249,11;320,98;1,31
;Abr - Jun;8.211,96;725,60;211,05;913,96;45,19;47,86;691,58;1.572,02;533,84;331,66;151,29;156,50;71,57;248,08;208,03;489,40;697,03;447,02;91,89;248,61;328,49;1,28
Fuente: Encuesta Nacional de Empleo. INE;;;;;;;;;;;;;;;;;;;;;;;
1/ Clasificación Industrial Internacional Uniforme CIIU4.CL 2012 (Revisión 4 adaptación chilena) según Clasificador de Actividades Económicas Nacional para Encuestas Sociodemográficas, CAENES.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;