ANTIGÜEDAD;VEHÍCULOS;SECTOR_PRODUCTIVO;anno
Menor a 5 años;49.810;Transporte de Carga;2016
Entre 5 y 10 años;60.129;Transporte de Carga;2016
Entre 11 y 15 años;26.404;Transporte de Carga;2016
Mayor a 15 años;59.456;Transporte de Carga;2016
Menor a 5 años;23.262;Otro Sector Productivo;2016
Entre 5 y 10 años;19.807;Otro Sector Productivo;2016
Entre 11 y 15 años;5.019;Otro Sector Productivo;2016
Mayor a 15 años;9.156;Otro Sector Productivo;2016
Menor a 5 años;4.622;S/I;2016
Entre 5 y 10 años;8.405;S/I;2016
Entre 11 y 15 años;6.187;S/I;2016
Mayor a 15 años;21.732;S/I;2016