VIGENCIA;region;NÚMERO_VEHÍCULOS;ANTIGÜEDAD_PROMEDIO;anno
Con Revisión;XIII;27.439;12;2016
Con Revisión;V;10.314;14;2016
Con Revisión;VIII;9.338;13;2016
Con Revisión;VII;6.387;15;2016
Con Revisión;VI;4.798;16;2016
Con Revisión;IX;4.122;14;2016
Con Revisión;X;3.856;14;2016
Con Revisión;II;2.890;10;2016
Con Revisión;I;2.780;15;2016
Con Revisión;IV;2.006;13;2016
Con Revisión;XV;1.805;16;2016
Con Revisión;XII;1.662;15;2016
Con Revisión;XIV;1.493;14;2016
Con Revisión;III;828;13;2016
Con Revisión;XI;296;15;2016
Con Revisión;SI;1;49;2016
Sin Revisión;XIII;7.385;26;2016
Sin Revisión;V;3.285;27;2016
Sin Revisión;VIII;2.403;28;2016
Sin Revisión;VII;1.598;28;2016
Sin Revisión;VI;1.214;30;2016
Sin Revisión;IX;984;27;2016
Sin Revisión;X;915;25;2016
Sin Revisión;II;934;24;2016
Sin Revisión;I;1.738;23;2016
Sin Revisión;IV;591;28;2016
Sin Revisión;XV;1.072;23;2016
Sin Revisión;XII;638;27;2016
Sin Revisión;XIV;377;23;2016
Sin Revisión;III;398;31;2016
Sin Revisión;XI;115;27;2016
Sin Revisión;SI;4;57;2016