2.1.- Importación;;;;;;;;;
2.2.1.- Tonelaje movilizado en importación por puertos y según tipo de carga;;;;;;;;;
Año 2016;;;;;;;;;
(Cantidades en toneladas métricas);;;;;;;;;
;;;;;;;;;
PUERTOS;IMPORTACIÓN;;;;TOTAL;;;;
;GENERAL;GRANEL;LÍQUIDO;FRIGORIZADO;;;;;
Arica; 18.824 ; 39.579 ; - ; 8.088 ; 66.491 ;;;;
(a)Iquique; 61.471 ; - ; - ; 9 ; 61.480 ;;;;
Punta Patache; - ; 80.195 ; - ; - ; 80.195 ;;;;
Tocopilla; - ; 1.962.870 ; 9.288 ; - ; 1.972.158 ;;;;
Michilla Cove; - ; - ; 192.245 ; - ; 192.245 ;;;;
Mejillones; - ; 2.523.960 ; 3.643.233 ; 219 ; 6.167.412 ;;;;
Puerto Angamos; 583.193 ; 1.445.973 ; 31.088 ; 482 ; 2.060.735 ;;;;
Antofagasta; 251.383 ; 281.298 ; 215.264 ; 3.995 ; 751.941 ;;;;
Chañaral; 4 ; - ; 187.856 ; - ; 187.859 ;;;;
Caldera; - ; - ; 267.032 ; - ; 267.032 ;;;;
Huasco/Guacolda; 24.611 ; 1.389.416 ; - ; - ; 1.414.027 ;;;;
Coquimbo; 83.358 ; - ; 2.639 ; - ; 85.997 ;;;;
Guayacán; - ; - ; 38.667 ; - ; 38.667 ;;;;
Ventanas; 20.406 ; 2.862.165 ; 53.988 ; - ; 2.936.560 ;;;;
Quintero; 521 ; - ; 9.149.522 ; - ; 9.150.043 ;;;;
Valparaíso; 4.195.289 ; - ; - ; 200.535 ; 4.395.824 ;;;;
San Antonio; 5.188.242 ; 3.313.802 ; 135.628 ; 552.354 ; 9.190.026 ;;;;
Penco; - ; 253.848 ; - ; - ; 253.848 ;;;;
Lirquén; 214.244 ; 464.413 ; - ; 5.262 ; 683.918 ;;;;
Talcahuano; 3.829 ; 7.036 ; 3.393 ; 113 ; 14.372 ;;;;
San Vicente; 358.491 ; 647.478 ; 7.615.504 ; 34.425 ; 8.655.898 ;;;;
Coronel; 378.758 ; 2.452.561 ; 154.625 ; 1.920 ; 2.987.864 ;;;;
Puerto Montt; 63.438 ; 394.881 ; 10.309 ; - ; 468.628 ;;;;
San José de Calbuco; 0 ; 259.112 ; 89.379 ; - ; 348.491 ;;;;
Chacabuco; 874 ; - ; - ; - ; 874 ;;;;
(a)Punta Arenas; 269 ; - ; 20.098 ; 8 ; 20.375 ;;;;
Cabo Negro; 14 ; - ; - ; - ; 14 ;;;;
Compra de naves; 122.190 ; - ; - ; - ; 122.190 ;;;;
Otros puertos; 46 ; - ; - ; 10 ; 56 ;;;;
TOTAL; 11.569.453 ; 18.378.586 ; 21.819.758 ; 807.421 ; 52.575.218 ;;;;
(a)Valores no consideran mercancias movilizadas por zona franca;;;;;;;;;
Fuente: Servicio Nacional de Aduanas;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;