;;;;;;
EXPORTACIONES DE BIENES (1)(2);;;;;;
(Millones de d—lares fob);;;;;;
;;;;;;
;;Mineras;Agropecuarias, silv’colas y pesqueras;  Industriales;Total;
;;;;;;
A–o;Mes;;;;;
;;;;;;
2003;Enero;626;236;877;1.739;
;Febrero;627;233;738;1.598;
;Marzo;620;358;879;1.857;
;Abril;606;380;818;1.805;
;Mayo;748;194;936;1.878;
;Junio;678;123;824;1.625;
;Julio;654;102;987;1.744;
;Agosto;798;83;879;1.760;
;Septiembre;723;83;873;1.678;
;Octubre;859;74;984;1.917;
;Noviembre;880;68;951;1.899;
;Diciembre ;972;210;970;2.151;
;Total;8.789;2.145;10.717;21.651;
;;;;;;
2004;Enero;1.055;242;998;2.295;
;Febrero;1.348;301;933;2.581;
;Marzo.;1.270;442;1.097;2.809;
;Abril;1.377;405;1.021;2.804;
;Mayo;1.332;216;1.131;2.679;
;Junio;1.268;129;1.094;2.492;
;Julio;1.464;105;1.267;2.836;
;Agosto;1.481;93;1.229;2.803;
;Septiembre;1.466;77;1.245;2.788;
;Octubre;1.548;72;1.149;2.769;
;Noviembre;1.540;71;1.356;2.967;
;Diciembre;1.570;261;1.372;3.203;
;Total;16.721;2.414;13.891;33.025;
;;;;;;
2005;Enero;1.314;302;1.289;2.905;
;Febrero;1.440;312;1.132;2.884;
;Marzo.;1.747;444;1.450;3.641;
;Abril;1.616;445;1.433;3.494;
;Mayo;1.588;228;1.467;3.283;
;Junio;1.867;134;1.479;3.480;
;Julio;1.837;117;1.484;3.439;
;Agosto;1.702;112;1.537;3.351;
;Septiembre;1.997;90;1.399;3.486;
;Octubre;1.794;75;1.621;3.489;
;Noviembre;2.392;80;1.618;4.091;
;Diciembre;2.702;222;1.506;4.430;
;Total;21.998;2.562;17.414;41.974;
;;;;;;
2006;Enero;2.277;291;1.505;4.073;
;Febrero;2.674;296;1.321;4.291;
;Marzo;3.498;479;1.667;5.644;
;Abril;3.372;463;1.429;5.264;
;Mayo;2.562;308;1.839;4.708;
;Junio;4.218;180;1.628;6.026;
;Julio;2.961;134;1.895;4.990;
;Agosto;3.212;125;1.797;5.135;
;Septiembre;3.128;87;1.727;4.942;
;Octubre;2.605;85;1.702;4.392;
;Noviembre;2.124;85;1.903;4.112;
;Diciembre;3.826;276;1.701;5.803;
;Total;36.456;2.809;20.115;59.380;
;;;;;;
2007;Enero;3.146;401;1.860;5.407;
;Febrero;3.269;339;1.575;5.183;
;Marzo;3.757;503;1.781;6.041;
;Abril;3.914;560;1.745;6.218;
;Mayo;4.035;365;1.993;6.394;
;Junio;3.814;238;1.887;5.939;
;Julio;3.197;169;2.101;5.468;
;Agosto;3.353;169;2.053;5.575;
;Septiembre;3.446;120;1.725;5.291;
;Octubre;3.546;104;2.153;5.803;
;Noviembre;3.260;83;2.069;5.412;
;Diciembre;3.707;236;1.887;5.830;
;Total;42.445;3.287;22.829;68.561;
;;;;;;
2008;Enero;3.639;482;2.143;6.265;
;Febrero;3.750;409;1.961;6.120;
;Marzo;4.291;540;1.940;6.772;
;Abril;3.394;730;2.166;6.290;
;Mayo;3.358;494;2.346;6.197;
;Junio;3.408;286;2.138;5.832;
;Julio;2.927;263;2.656;5.846;
;Agosto;2.440;204;2.397;5.042;
;Septiembre;1.967;145;2.284;4.396;
;Octubre;1.709;125;2.283;4.118;
;Noviembre;1.324;93;1.976;3.393;
;Diciembre;2.085;294;1.862;4.240;
;Total;34.293;4.066;26.152;64.510;
;;;;;;
2009;Enero;1.529;404;1.719;3.652;
;Febrero;1.634;401;1.401;3.436;
;Marzo;2.070;664;1.565;4.299;
;Abril;2.210;631;1.526;4.368;
;Mayo;2.459;342;1.478;4.279;
;Junio;2.568;219;1.660;4.447;
;Julio;2.841;205;1.705;4.751;
;Agosto;2.825;172;1.675;4.671;
;Septiembre;2.524;155;1.725;4.404;
;Octubre;3.791;114;1.839;5.744;
;Noviembre;3.413;79;1.825;5.317;
;Diciembre;4.015;282;1.799;6.096;
;Total;31.877;3.668;19.918;55.463;
;;;;;;
2010;Enero;2.762;532;1.773;5.067;
;Febrero;3.035;449;1.520;5.004;
;Marzo;3.513;602;1.429;5.544;
;Abril;3.130;719;1.512;5.361;
;Mayo;3.351;531;1.792;5.674;
;Junio;3.195;323;1.846;5.364;
;Julio;3.706;258;2.042;6.006;
;Agosto;3.976;213;2.133;6.323;
;Septiembre;4.073;163;1.904;6.140;
;Octubre;4.126;138;2.078;6.343;
;Noviembre;4.301;121;2.101;6.522;
;Diciembre;5.383;322;2.055;7.761;
;Total;44.552;4.372;22.185;71.109;
;;;;;;
2011;Enero;3.802;628;2.060;6.490;
;Febrero;3.645;492;1.867;6.004;
;Marzo;4.739;700;2.281;7.719;
;Abril;4.267;793;2.205;7.265;
;Mayo;4.354;612;2.442;7.408;
;Junio;4.265;350;2.082;6.697;
;Julio;3.770;254;2.363;6.387;
;Agosto;3.544;273;2.531;6.348;
;Septiembre;3.924;204;2.412;6.541;
;Octubre;4.182;144;2.354;6.680;
;Noviembre;4.103;139;2.509;6.751;
;Diciembre;4.489;380;2.280;7.148;
;Total;49.083;4.969;27.385;81.438;
;;;;;;
2012;Enero;3.609;637;2.220;6.466;
;Febrero;3.732;539;2.060;6.331;
;Marzo;3.893;827;2.347;7.067;
;Abril;3.596;817;2.155;6.568;
;Mayo;3.571;494;2.356;6.420;
;Junio;4.043;366;2.353;6.763;
;Julio;3.500;294;2.139;5.934;
;Agosto;3.218;254;2.308;5.780;
;Septiembre;3.573;156;1.963;5.693;
;Octubre;4.811;146;2.411;7.368;
;Noviembre;4.085;132;2.330;6.546;
;Diciembre;4.629;356;2.142;7.127;
;Total;46.260;5.019;26.784;78.063;
;;;;;;
2013;Enero;3.722;728;2.371;6.822;
;Febrero;3.239;503;1.835;5.576;
;Marzo;3.038;711;2.440;6.189;
;Abril;3.792;946;2.035;6.773;
;Mayo;3.820;722;2.479;7.021;
;Junio;3.602;464;2.283;6.349;
;Julio;3.641;399;2.389;6.429;
;Agosto;3.761;256;2.404;6.421;
;Septiembre;3.638;183;2.020;5.841;
;Octubre;4.161;190;2.637;6.987;
;Noviembre;3.573;148;2.347;6.068;
;Diciembre;3.714;398;2.183;6.295;
;Total;43.700;5.647;27.422;76.770;
;;;;;;
2014;Enero;2.508;795;2.195;5.498;
;Febrero;3.823;538;1.839;6.200;
;Marzo;3.866;811;2.619;7.296;
;Abril;3.409;886;2.375;6.670;
;Mayo;3.659;604;2.645;6.908;
;Junio;3.326;374;2.427;6.128;
;Julio;3.405;344;2.512;6.261;
;Agosto;3.132;230;2.506;5.868;
;Septiembre;3.219;200;2.363;5.782;
;Octubre;3.250;157;2.669;6.076;
;Noviembre;3.066;148;2.377;5.591;
;Diciembre;3.775;533;2.536;6.844;
;Total;40.437;5.621;29.064;75.122;
;;;;;;
2015;Enero;3.003;788;2.163;5.955;
;Febrero;2.684;563;1.876;5.123;
;Marzo;3.009;731;2.267;6.008;
;Abril;2.939;744;2.082;5.766;
;Mayo;2.689;426;1.874;4.989;
;Junio;3.003;394;1.891;5.288;
;Julio;2.347;341;2.257;4.946;
;Agosto;2.411;229;2.021;4.662;
;Septiembre;2.418;212;2.016;4.646;
;Octubre;2.427;170;2.121;4.717;
;Noviembre;2.667;169;1.995;4.832;
;Diciembre;2.873;443;1.936;5.253;
;Total;32.470;5.212;24.501;62.183;
;;;;;;
2016;Enero;2.188;945;1.958;5.091;
;Febrero;2.526;601;1.677;4.804;
;Marzo;2.518;696;1.970;5.184;
;Abril;2.370;723;1.970;5.064;
;Mayo;2.483;569;2.025;5.077;
;Junio;2.366;372;1.924;4.662;
;Julio;2.404;316;1.929;4.648;
;Agosto;2.456;289;2.201;4.946;
;Septiembre;2.715;245;1.942;4.902;
;Octubre;2.686;209;1.865;4.761;
;Noviembre;2.886;233;2.097;5.216;
;Diciembre;3.272;700;2.270;6.242;
;Total;30.871;5.898;23.829;60.597;
;;;;;;
2017;Enero;2.723;750;2.143;5.616;
;Febrero;2.275;546;1.858;4.679;
;Marzo;2.613;717;2.170;5.501;
;Abril;2.492;601;1.926;5.019;
;;;;;;
;;;;;;
;;;;;;
(1) Cifras provisionales.;;;;;;
(2) Las cifras de balanza comercial representan importaciones y exportaciones efectivas. Est‡n basadas en las estad’sticas del Servicio Nacional de Aduanas, ;;;;;;
a las que se les han hecho los ajustes pertinentes de cobertura y valoraci—n para llegar a las cifras que se emplean en balanza de pagos.;;;;;;