IMPORTACIONES CLASIFICADAS POR TIPO DE BIEN ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Millones de d¢lares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A¤o;Mes;Bienes de Consumo;;;;;;;;;;;;;;;;;;Bienes Intermedios (3);;;;;;;;;;;;;;;;;;;;Bienes de Capital;;;;;;;;;;;;;Total de importaci¢n de bienes (cif);Total de importaci¢n de bienes (fob)
;;;Durables (1);;;;;;Semidurables (2);;;Otros bienes de consumo;;;;;;;;;Productos Energ‚ticos;;;;;;;Resto Intermedios;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Autom¢viles;Computadores;Celulares;Televisores;Electr¢domesticos;;Vestuario;Calzado;;Carne;Otros alimentos;Bebidas y alcoholes;Gasolinas;Gas licuado;Medicamentos;Perfumes;;;Petr¢leo;Di‚sel;Carb¢n mineral;Gas natural licuado;Gas natural gaseoso;Aceite lubricante;;Productos qu¡micos;Abono;Productos met licos;Partes y piezas de maquinaria para la miner¡a y la construcci¢n;Partes y piezas de otras maquinarias y equipos;Aparatos de control el‚ctrico;Concentrado de molibdeno;Trigo y ma¡z;Az£car y endulzante;Cart¢n y papel elaborados, y otros;Fibra y tejido;;Camiones y veh¡culos de carga;Buses;Otros veh¡culos de transporte;Maquinaria para la miner¡a y la construcci¢n;Motores, generadores y transformadores el‚ctricos;Motores y turbinas;Bombas y compresores;Calderas de vapor;Otra maquinaria;Aparatos el‚ctronicos de comunicaci¢n;Equipos computacionales;Aparatos m‚dicos;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Enero;387;124;52;6;16;6;12;133;67;29;130;15;19;3;10;5;16;11;1.061;361;239;22;15;0;40;24;700;116;17;70;13;99;12;5;33;21;23;31;294;34;20;13;19;10;7;13;2;68;18;16;17;1.742;1.613
;Febrero;348;115;40;9;18;7;11;123;69;25;111;15;16;2;10;4;14;10;813;251;185;7;3;0;22;22;561;99;14;53;13;89;8;4;11;4;17;26;223;22;11;4;12;6;7;8;5;61;11;17;16;1.384;1.289
;Marzo;321;105;32;11;16;7;13;103;56;17;113;13;18;3;7;4;15;12;770;232;140;18;10;0;29;23;538;88;14;50;14;81;9;4;10;4;20;26;311;24;10;11;13;8;2;11;19;111;13;19;22;1.402;1.307
;Abril;366;150;57;9;24;8;19;91;44;14;125;16;21;4;7;6;16;12;957;330;248;15;10;0;25;21;627;108;27;65;11;92;9;7;9;4;16;27;367;28;12;20;22;6;13;10;24;125;11;19;22;1.690;1.575
;Mayo;389;164;57;12;26;12;19;97;43;13;128;13;21;4;12;6;17;12;922;279;155;17;17;0;48;20;643;102;22;66;16;98;10;4;9;5;18;35;324;28;9;31;27;8;15;12;11;89;10;19;18;1.635;1.510
;Junio;345;133;36;12;27;13;15;78;28;13;135;18;22;4;12;8;16;13;868;219;128;20;8;0;24;17;648;92;24;71;24;93;10;8;7;3;19;30;264;21;7;5;18;17;4;11;13;90;7;19;15;1.477;1.372
;Julio;427;155;47;14;28;12;16;123;55;24;149;16;27;3;15;12;18;13;1.001;293;188;18;8;0;34;19;708;105;38;72;21;111;9;9;11;5;21;33;245;30;8;6;13;10;5;10;5;65;7;21;19;1.673;1.554
;Agosto;399;137;50;10;13;11;14;125;57;29;137;18;26;3;7;7;14;15;953;272;168;35;9;0;24;20;681;98;49;65;15;105;9;7;27;5;18;27;287;54;6;24;12;14;4;10;4;66;8;20;15;1.639;1.521
;Septiembre;416;148;49;11;22;11;12;132;57;25;136;16;23;4;14;5;16;14;880;247;141;24;11;0;38;18;633;91;40;59;16;98;14;7;30;4;22;25;275;42;14;13;14;11;5;13;3;68;7;20;15;1.571;1.455
;Octubre;475;184;58;11;31;15;18;141;52;25;149;19;22;6;12;8;15;14;1.006;306;217;9;12;0;30;19;700;106;38;66;17;101;14;9;23;7;25;29;301;46;17;20;15;7;5;12;1;68;10;23;22;1.782;1.652
;Noviembre;424;168;48;11;37;12;13;115;41;17;140;21;26;5;9;4;14;12;902;236;152;9;10;0;30;22;666;95;23;69;18;108;14;7;25;9;23;26;292;39;12;34;15;8;4;11;1;70;9;17;20;1.618;1.503
;Diciembre;422;161;69;8;21;8;12;117;49;18;144;30;21;3;13;4;14;12;907;246;164;8;2;0;34;23;661;105;19;68;21;100;14;6;15;4;23;28;304;42;9;14;23;6;6;12;0;72;15;25;21;1.633;1.516
2004;Enero;407;129;58;7;17;8;9;136;67;30;143;21;20;2;19;6;15;14;1.109;363;260;26;10;0;30;20;746;123;21;71;16;114;10;12;25;5;26;32;293;34;28;5;28;6;4;15;0;69;12;18;19;1.810;1.676
;Febrero.;407;139;56;8;29;6;12;146;85;29;123;14;20;3;11;4;15;11;899;282;166;21;18;0;43;20;617;97;18;58;15;87;8;12;17;4;20;37;256;27;18;11;25;5;3;11;1;54;12;18;19;1.562;1.440
;Marzo.;449;183;71;11;34;13;19;111;57;23;156;19;26;3;12;6;19;16;1.221;400;257;37;22;0;45;21;821;131;32;90;15;115;9;12;21;6;27;32;346;41;16;31;32;10;4;12;0;71;14;24;21;2.016;1.859
;Abril;481;205;61;15;61;13;21;120;62;19;156;21;23;4;22;4;18;16;1.080;332;224;31;17;0;27;18;748;112;28;73;17;116;10;23;9;6;22;34;314;39;9;7;34;9;11;13;1;65;13;23;25;1.874;1.742
;Mayo;516;233;79;19;50;14;24;111;51;20;172;19;24;4;26;11;18;14;1.123;340;167;62;32;0;35;21;782;124;36;76;17;112;11;14;7;8;20;39;340;54;11;17;31;9;9;12;0;67;16;24;19;1.979;1.837
;Junio;452;202;65;18;42;18;14;99;40;18;151;20;23;3;9;13;20;15;1.082;297;169;33;29;0;22;21;785;128;37;81;19;113;11;18;2;10;25;36;312;40;9;5;24;11;8;11;1;75;20;29;17;1.846;1.714
;Julio;556;208;67;19;29;20;19;153;72;27;195;23;30;7;26;16;19;18;1.299;445;230;62;38;0;57;23;853;130;49;98;16;105;10;18;17;8;23;41;336;42;11;12;21;9;20;14;1;75;14;23;21;2.190;2.020
;Agosto;538;189;64;14;24;19;18;182;91;38;167;29;25;3;5;6;22;17;1.283;391;258;33;20;0;28;36;892;123;64;107;21;131;11;22;18;10;29;36;337;55;11;3;31;7;5;15;0;86;11;23;21;2.158;1.996
;Septiembre;575;207;70;16;27;19;19;195;89;41;174;27;25;3;16;11;18;17;1.318;381;241;24;14;0;44;24;937;136;60;118;17;127;12;25;21;11;29;29;378;42;32;6;35;10;6;15;0;85;18;27;26;2.271;2.101
;Octubre;548;223;74;14;35;17;20;162;69;23;163;22;25;5;7;10;18;17;1.448;552;363;61;23;0;51;24;896;139;41;91;18;123;12;34;29;10;31;32;429;72;15;2;52;6;20;16;0;90;24;24;24;2.425;2.245
;Noviembre;549;234;77;18;38;18;17;149;53;24;166;21;26;7;11;6;21;16;1.247;376;247;41;17;0;29;25;871;123;18;104;18;128;10;21;14;7;32;36;410;70;15;10;28;11;19;16;1;92;21;26;26;2.206;2.042
;Diciembre;519;196;75;13;20;13;15;154;68;28;169;27;23;7;8;8;17;17;1.373;430;293;40;16;0;37;24;943;158;24;129;17;121;12;50;10;10;35;35;486;81;6;23;45;15;28;18;14;100;15;27;27;2.378;2.193
2005;Enero;516;203;94;8;37;8;14;141;75;27;172;24;23;5;23;7;18;14;1.361;421;233;58;25;0;49;33;940;158;22;104;16;123;14;60;27;7;29;33;475;57;51;46;48;9;12;15;3;90;15;21;21;2.352;2.170
;Febrero;535;177;62;11;50;8;14;174;94;36;185;24;19;3;41;7;17;17;1.223;371;196;62;20;0;45;21;852;152;10;105;14;113;13;45;14;6;34;29;404;56;16;25;40;8;10;14;17;99;13;21;22;2.163;2.005
;Marzo;649;240;101;17;33;15;26;184;104;35;225;24;28;5;48;8;23;20;1.588;591;396;59;39;0;34;34;996;182;33;105;16;138;16;41;15;9;36;35;505;98;23;5;52;9;8;18;1;122;13;29;26;2.742;2.546
;Abril;534;223;88;16;46;13;20;121;61;15;190;26;31;4;16;7;23;18;1.462;526;259;122;30;0;48;33;936;155;37;106;21;134;18;45;5;8;27;35;571;83;15;26;54;13;7;18;12;184;15;27;23;2.567;2.391
;Mayo;582;224;75;20;44;18;22;123;52;20;235;26;29;4;42;17;23;18;1.683;634;304;162;26;0;42;54;1.049;157;55;119;17;148;17;84;7;8;29;44;493;65;10;38;43;15;4;21;1;150;17;27;25;2.758;2.563
;Junio;542;242;80;22;47;22;21;116;44;20;185;22;24;5;18;12;22;18;1.515;524;262;75;36;0;54;51;991;159;46;111;18;142;16;45;4;7;24;40;536;67;20;13;38;20;6;22;1;169;21;37;26;2.593;2.414
;Julio;646;261;101;20;43;22;17;165;76;34;219;28;32;8;18;17;24;21;1.611;536;259;94;36;0;69;36;1.075;149;45;116;17;162;14;88;13;8;31;40;678;94;20;109;50;26;4;20;5;175;14;28;28;2.935;2.749
;Agosto;700;273;99;19;41;23;20;211;103;43;216;38;31;4;11;13;25;22;1.590;482;312;54;12;0;36;34;1.108;164;69;136;21;175;15;53;14;10;31;39;557;107;9;27;61;13;5;20;9;125;14;31;31;2.847;2.655
;Septiembre;687;270;97;22;33;28;21;203;87;39;214;45;28;4;3;15;21;21;1.710;660;464;62;29;0;37;34;1.050;152;49;98;15;155;15;73;31;12;30;35;568;79;9;39;46;9;6;29;25;135;22;38;29;2.965;2.771
;Octubre;731;292;85;23;50;32;24;195;76;32;243;27;36;5;35;12;20;23;1.721;606;394;69;14;0;54;38;1.115;151;43;124;21;174;14;62;25;12;31;38;768;75;155;116;47;10;3;23;8;141;38;35;28;3.219;3.013
;Noviembre;707;333;100;28;71;27;25;167;61;31;208;34;29;5;7;10;21;21;1.623;538;375;59;20;0;18;44;1.085;163;26;123;18;194;18;79;21;15;32;40;698;98;71;95;50;10;4;23;10;127;23;42;34;3.029;2.834
;Diciembre;642;255;110;17;27;13;21;168;72;32;219;42;27;5;19;10;20;20;1.525;495;321;46;21;0;35;43;1.030;162;22;117;18;159;17;41;10;11;33;43;589;84;47;42;37;12;5;17;4;146;30;34;28;2.757;2.563
2006;Enero;668;254;108;17;48;6;19;200;102;40;214;37;31;5;6;13;22;20;1.917;699;489;74;18;0;43;45;1.218;175;24;157;22;180;13;48;48;14;29;41;619;123;49;43;37;10;6;29;1;132;20;33;26;3.204;2.982
;Febrero;612;220;71;16;57;11;20;210;116;42;182;14;26;3;21;9;20;19;1.616;574;365;91;19;0;36;34;1.043;162;22;113;19;176;14;25;22;11;28;36;428;55;23;16;25;13;13;19;3;104;19;26;26;2.657;2.472
;Marzo;755;330;134;26;61;21;29;199;114;33;226;23;33;4;29;7;24;23;1.833;636;374;91;42;0;61;42;1.197;196;30;139;22;179;17;50;53;13;30;38;659;102;15;108;34;18;18;26;1;123;25;35;34;3.247;3.030
;Abril;618;257;76;21;51;30;30;155;77;25;206;28;32;3;10;11;23;23;1.510;519;322;78;20;0;26;45;991;163;28;105;23;141;17;40;22;10;26;43;476;74;18;18;35;12;5;17;1;129;15;31;27;2.604;2.442
;Mayo;793;349;132;26;66;33;31;161;68;26;283;27;34;5;42;24;28;25;2.162;923;526;185;41;0;47;48;1.240;199;44;122;21;184;18;40;36;11;33;54;581;98;25;20;28;18;41;20;1;119;28;38;29;3.537;3.317
;Junio;744;308;92;27;61;38;26;153;65;22;283;24;34;3;58;16;30;23;1.962;770;411;205;33;0;24;44;1.193;190;37;132;20;168;14;30;31;13;33;46;610;81;13;97;39;15;11;18;0;139;25;43;30;3.316;3.113
;Julio;740;302;111;24;56;24;23;205;99;39;233;14;27;4;35;16;26;27;1.793;720;443;136;29;0;23;48;1.073;169;47;106;22;157;18;39;29;11;32;46;679;109;10;130;61;17;10;22;1;114;29;35;29;3.212;3.027
;Agosto;855;302;107;24;44;29;26;285;141;54;268;26;38;6;25;18;27;28;2.134;770;410;192;42;0;24;44;1.364;186;68;151;22;194;17;43;34;10;39;45;670;91;24;104;60;15;15;23;0;139;19;32;44;3.659;3.435
;Septiembre;800;320;111;21;54;34;23;242;107;50;238;28;31;5;12;20;25;26;1.919;731;486;91;16;0;48;51;1.187;195;63;120;19;160;18;49;43;16;32;41;748;101;48;140;36;24;48;24;0;123;21;36;38;3.466;3.255
;Octubre;916;409;117;31;102;37;22;229;95;37;278;38;32;8;44;14;25;27;1.884;656;336;131;24;0;65;45;1.228;183;60;165;21;149;19;49;33;18;33;43;603;93;18;35;45;15;16;22;0;131;32;41;41;3.403;3.173
;Noviembre;881;423;120;34;106;34;31;218;80;36;241;39;34;9;10;11;21;26;1.903;640;386;86;38;0;64;46;1.263;193;32;133;23;185;16;76;45;17;38;44;696;86;22;94;53;20;14;24;1;143;40;38;37;3.480;3.243
;Diciembre;768;298;113;14;57;19;22;205;85;41;265;39;30;6;40;11;22;25;1.782;628;326;142;32;0;52;41;1.153;173;16;136;20;162;18;62;39;16;40;45;653;92;18;87;58;15;21;24;6;139;22;34;36;3.202;2.993
2007;Enero;784;304;121;15;68;13;22;240;121;51;239;28;33;6;18;13;28;24;1.871;575;367;37;26;0;74;41;1.296;209;26;134;20;191;18;41;47;20;37;42;548;81;27;17;45;14;12;22;3;136;21;30;36;3.203;2.980
;Febrero;797;320;117;32;77;11;28;266;147;57;211;23;30;5;18;10;21;23;1.769;586;333;102;31;0;58;40;1.183;185;25;137;19;182;16;29;55;20;34;38;535;77;16;28;48;15;13;21;9;113;23;40;29;3.102;2.893
;Marzo;864;319;112;34;43;20;38;280;162;52;265;28;36;6;23;12;28;27;2.226;805;394;245;38;0;40;48;1.421;217;41;144;28;200;20;53;41;19;44;43;675;117;18;22;78;24;15;27;1;152;28;40;38;3.766;3.513
;Abril;745;339;122;32;67;19;35;144;70;22;262;31;33;7;29;15;25;29;2.098;796;396;204;32;0;75;45;1.302;203;41;115;25;190;16;69;30;15;35;41;622;105;17;13;46;22;29;25;3;143;32;36;37;3.465;3.250
;Mayo;891;395;160;30;66;29;33;158;69;23;338;30;42;8;55;25;39;29;2.474;1.037;492;275;63;0;60;52;1.437;210;43;125;24;195;23;72;33;17;36;48;747;100;16;127;72;17;10;23;1;147;36;38;36;4.111;3.849
;Junio;844;374;129;46;67;33;26;183;77;32;287;25;36;7;34;25;31;27;2.265;873;392;278;49;0;37;46;1.393;199;65;174;26;201;19;76;45;12;34;47;646;94;13;28;63;19;7;28;0;150;39;49;38;3.756;3.504
;Julio;923;344;134;40;49;20;24;255;125;50;324;29;37;6;33;40;29;26;2.450;1.062;423;436;35;0;33;71;1.388;207;64;133;34;197;24;57;45;15;36;46;631;124;13;9;41;24;12;27;2;139;33;54;38;4.004;3.740
;Agosto;1.083;371;132;41;50;37;22;309;154;58;402;31;48;8;75;40;32;37;2.637;957;331;363;52;0;24;78;1.680;246;107;201;31;216;21;107;82;18;46;51;725;129;18;42;74;17;8;26;0;157;44;43;38;4.444;4.145
;Septiembre;957;360;139;22;46;33;26;260;115;47;337;31;39;8;50;24;28;28;2.294;965;446;331;26;0;27;49;1.329;195;71;126;20;174;19;107;41;26;43;43;661;112;32;50;52;25;8;24;0;137;24;37;34;3.912;3.661
;Octubre;1.159;495;152;54;72;54;29;289;118;45;375;30;47;10;50;29;34;35;2.766;1.114;470;381;64;0;20;79;1.653;243;77;182;32;209;20;78;86;25;46;51;831;126;47;61;74;22;23;27;2;170;34;56;45;4.757;4.424
;Noviembre;1.089;452;151;45;63;44;27;235;92;33;402;37;48;10;75;25;32;31;2.692;1.118;416;488;41;0;22;71;1.574;257;36;160;29;192;20;91;88;30;46;49;924;139;56;171;63;18;11;26;1;162;31;48;47;4.705;4.411
;Diciembre;926;336;153;23;30;23;24;234;106;42;356;50;39;9;46;27;29;28;2.469;1.016;558;258;42;0;25;55;1.453;211;45;159;40;196;19;78;65;14;40;47;987;126;50;182;99;35;27;26;3;161;38;42;45;4.383;4.108
2008;Enero;995;371;176;21;51;19;24;286;148;58;339;36;44;9;25;18;30;30;2.773;1.144;502;406;64;0;25;89;1.628;273;34;173;35;208;20;108;42;21;48;47;826;137;49;38;46;84;11;26;3;163;40;35;44;4.594;4.251
;Febrero;985;367;149;40;53;20;28;309;174;60;310;34;48;6;0;22;28;31;2.953;1.308;674;402;74;0;35;65;1.645;274;39;207;32;226;20;105;55;23;45;41;731;115;31;11;69;41;11;25;8;147;40;42;43;4.669;4.340
;Marzo;1.044;414;161;49;77;20;33;270;155;44;361;27;48;7;31;25;28;36;3.006;1.463;592;616;65;0;36;61;1.543;261;56;169;28;201;22;59;45;25;48;43;736;122;21;32;63;36;19;28;3;144;36;44;41;4.786;4.469
;Abril;1.226;548;226;50;104;34;46;212;100;30;466;28;61;7;92;33;38;39;3.423;1.654;603;704;50;0;52;113;1.769;285;124;223;37;229;27;89;48;22;47;51;900;129;32;41;94;41;11;38;30;162;40;46;43;5.548;5.196
;Mayo;1.122;480;194;46;75;32;40;212;92;31;430;28;60;7;49;32;39;37;3.409;1.600;705;565;102;0;60;82;1.809;289;108;224;39;238;32;56;57;24;37;58;993;135;18;130;104;55;19;27;33;177;34;50;45;5.523;5.183
;Junio;1.122;462;205;59;53;22;39;223;108;33;437;38;54;7;55;43;35;35;3.272;1.486;677;500;73;0;15;84;1.786;281;111;241;34;238;24;71;42;32;35;61;1.072;171;22;184;89;62;14;31;31;157;34;61;45;5.466;5.123
;Julio;1.283;476;181;65;52;38;44;330;156;57;477;55;69;9;34;50;42;36;3.768;1.570;676;539;84;0;8;118;2.198;324;149;321;53;294;30;59;92;40;39;62;1.143;153;22;172;84;60;30;43;23;200;59;59;46;6.194;5.791
;Agosto;1.252;476;202;34;69;35;36;347;164;62;429;54;56;11;14;52;35;42;3.713;1.583;821;291;103;0;42;201;2.130;329;149;284;37;259;34;81;87;27;38;55;1.019;140;30;70;96;92;26;36;23;199;36;42;50;5.984;5.561
;Septiembre;1.199;434;153;33;50;47;34;345;152;61;420;54;59;11;0;43;39;47;3.608;1.490;773;351;94;0;8;167;2.118;338;162;324;71;265;25;66;66;28;38;52;1.011;145;45;46;100;97;45;35;26;174;40;43;41;5.818;5.397
;Octubre;1.257;493;153;32;77;67;36;350;137;53;414;39;54;14;36;28;37;40;3.577;1.290;658;324;95;0;36;108;2.287;342;149;420;50;262;28;69;114;37;53;55;1.104;161;44;110;102;49;33;60;13;216;47;37;45;5.938;5.503
;Noviembre;936;371;123;33;64;34;29;252;98;42;313;33;39;13;22;14;33;34;2.165;637;174;132;80;0;30;147;1.527;217;36;271;47;228;22;57;39;12;48;43;1.024;145;23;196;97;68;23;43;22;168;28;32;38;4.124;3.814
;Diciembre;878;278;116;21;24;25;18;280;119;62;320;33;40;10;12;13;35;32;2.375;817;320;160;71;0;104;107;1.559;245;39;240;35;232;26;25;47;21;46;47;897;124;37;25;99;123;13;28;21;182;33;30;43;4.150;3.828
2009;Enero;743;207;63;15;49;11;14;282;160;59;254;17;41;6;23;8;28;30;1.866;580;179;158;57;0;109;56;1.286;193;27;183;49;195;19;10;44;26;43;37;804;123;17;127;80;64;13;38;21;129;28;23;31;3.413;3.155
;Febrero;690;179;53;21;36;10;16;261;154;51;249;27;38;7;14;11;29;31;1.749;604;194;188;73;0;75;40;1.144;192;25;136;37;192;18;15;11;16;29;29;575;65;13;2;67;95;13;19;16;106;31;27;32;3.013;2.789
;Marzo;701;204;74;25;31;10;24;180;103;31;317;38;42;7;44;14;39;33;1.858;670;254;163;55;0;91;57;1.187;193;40;161;33;187;21;16;29;20;31;32;573;71;23;11;49;32;8;19;46;110;36;29;35;3.132;2.909
;Abril;699;226;51;29;42;19;35;173;87;26;300;38;48;7;18;13;42;36;2.084;859;366;247;75;0;56;68;1.225;202;42;151;40;228;21;10;26;27;31;34;643;66;14;46;55;55;8;24;48;116;36;30;36;3.426;3.193
;Mayo;675;222;48;41;47;21;26;146;76;21;306;30;42;7;50;15;35;33;1.745;570;202;204;40;0;15;54;1.176;165;34;163;33;216;24;18;27;28;23;32;538;60;16;5;37;80;8;23;29;95;37;34;29;2.958;2.775
;Junio;735;257;61;43;46;34;25;197;93;40;281;27;43;7;21;17;36;35;1.865;680;354;153;61;0;6;62;1.186;175;36;119;39;225;23;19;16;25;28;37;596;56;16;27;41;45;7;27;48;121;26;43;34;3.196;3.006
;Julio;876;291;81;42;51;36;26;238;115;46;346;48;49;10;19;26;40;41;2.307;1.007;561;231;60;20;11;79;1.300;195;56;126;31;226;26;33;32;25;32;37;778;75;23;33;60;90;51;34;53;123;36;42;46;3.961;3.737
;Agosto;807;268;86;28;43;31;21;234;113;45;305;63;44;9;0;15;34;35;2.001;709;415;146;58;0;11;49;1.292;175;67;118;36;230;40;47;31;21;34;35;638;49;19;32;65;42;32;34;68;113;28;34;38;3.446;3.251
;Septiembre;920;331;119;35;44;39;23;267;114;46;322;44;45;10;21;13;32;41;1.962;711;221;252;37;46;24;80;1.251;208;84;101;34;191;22;57;9;19;31;39;568;41;14;7;46;20;14;36;14;150;38;41;39;3.450;3.248
;Octubre;1.051;443;130;48;88;59;30;276;117;41;331;40;43;12;22;17;36;44;2.414;784;407;162;51;28;25;70;1.630;234;68;134;56;255;25;70;46;25;44;50;678;69;23;19;81;25;10;25;27;128;38;46;42;4.142;3.893
;Noviembre;1.030;442;156;53;76;34;29;267;100;47;322;45;39;14;18;19;37;37;2.364;1.013;512;218;72;40;36;68;1.350;217;26;133;36;213;22;42;24;24;38;45;872;114;41;138;49;17;42;35;32;135;32;45;41;4.266;4.009
;Diciembre;1.064;394;183;41;30;30;27;287;123;60;384;59;50;15;46;17;32;39;2.288;738;312;123;55;38;38;116;1.550;209;34;169;66;243;24;38;29;32;48;50;1.089;124;62;219;74;29;34;35;33;175;34;57;55;4.442;4.177
2010;Enero;1.005;429;185;36;90;27;27;263;123;57;313;38;42;10;14;14;33;34;2.269;886;423;173;40;54;47;88;1.383;230;20;182;36;214;20;16;25;22;38;41;863;125;39;30;73;59;77;34;38;157;28;36;39;4.136;3.887
;Febrero;990;389;166;48;58;29;28;266;138;55;334;52;46;8;25;15;30;38;2.183;895;475;209;44;47;26;62;1.288;207;43;151;40;188;17;34;20;25;36;40;720;80;43;105;73;18;14;22;7;129;29;46;38;3.893;3.665
;Marzo;1.244;488;184;54;69;51;48;300;167;45;456;66;55;12;75;18;41;42;2.452;817;117;392;60;74;19;90;1.635;273;65;164;46;225;21;53;28;30;35;48;797;122;31;43;93;35;9;30;12;132;44;53;46;4.493;4.213
