;;;;;;;;;;;;;;
;;;ÍNDICE NOMINAL DE REMUNERACIONES (IR)                                                                                                                                                                                                            BASE ANUAL 2009 = 100                                                                                                                                                                                                                                         HOJA DE CIFRAS POR TAMAÑO DE EMPRESA;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;MAYO DE 2017;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
IR POR TAMAÑO DE EMPRESA;;;;;;;;;;;;;;
TAMAÑO DE EMPRESA SEGÚN VENTAS;;;;Ponderación;Índice Mensual;Variación Mensual;Variación Acumulada;Variación en 12 Meses;Incidencia Mensual;Incidencia Acumulada;;Incidencia a 12 Meses;;
Pequeña;;;;13,77246;155,39;0,5;1,6;5,0;0,077;0,222;;0,696;;
Mediana;;;;16,30977;157,51;0,3;0,8;3,0;0,051;0,137;;0,519;;
Grande;;;;69,91777;150,21;0,1;1,6;4,6;0,036;1,077;;3,180;;
;;;;;;;;;;;;;;
Nota 1:;Empresa Pequeña: ventas menores a 25.000 UF;;;;;;;;;;;;;
;Empresa Mediana: ventas de 25.000 a 100.000 UF;;;;;;;;;;;;;
;Empresa Grande: ventas superiores 100.000 UF;;;;;;;;;;;;;